Date,Portfolio Daily P&L %,HSI.HI Daily P&L %,HSCEI.HI Daily P&L %
9/11/17,0.63%,1.04%,0.64%
9/12/17,0.08%,0.06%,0.19%
9/13/17,-0.67%,-0.28%,-0.49%
9/14/17,-0.95%,-0.42%,-0.77%
9/15/17,-0.45%,0.11%,-0.30%
9/18/17,1.18%,1.27%,1.16%
9/19/17,-0.32%,-0.38%,-0.63%
9/20/17,0.35%,0.27%,0.43%
9/21/17,0.15%,-0.06%,0.22%
9/22/17,-0.83%,-0.82%,-0.80%
9/25/17,-1.41%,-1.36%,-1.77%
9/26/17,0.09%,0.05%,0.51%
9/27/17,0.63%,0.47%,0.61%
9/28/17,-1.15%,-0.80%,-1.46%
9/29/17,0.41%,0.48%,0.33%
10/9/17,3.86%,2.80%,4.36%
10/10/17,0.53%,0.58%,0.29%
10/11/17,0.73%,-0.36%,-0.06%
10/12/17,0.64%,0.24%,0.78%
10/13/17,-0.19%,0.06%,0.17%
10/16/17,0.41%,0.76%,0.72%
10/17/17,-0.35%,0.02%,-0.30%
10/18/17,0.54%,0.05%,0.46%
10/19/17,-2.27%,-1.92%,-2.28%
10/20/17,1.43%,1.17%,1.77%
10/23/17,-0.15%,-0.64%,-0.58%
10/24/17,-0.50%,-0.53%,-0.74%
10/25/17,0.64%,0.53%,0.77%
10/26/17,-0.20%,-0.36%,-0.41%
10/27/17,1.67%,0.84%,1.72%
10/30/17,-1.05%,-0.36%,-0.69%
10/31/17,-0.28%,-0.32%,-0.48%
11/1/17,0.93%,1.23%,1.12%
11/2/17,-0.71%,-0.26%,-0.33%
11/3/17,0.05%,0.30%,0.03%
11/6/17,-1.02%,-0.02%,-0.67%
11/7/17,0.70%,1.39%,1.05%
11/8/17,-0.15%,-0.30%,-0.60%
11/9/17,1.26%,0.79%,1.45%
11/10/17,-0.01%,-0.05%,0.01%
11/13/17,-0.83%,0.21%,-0.52%
11/14/17,-0.92%,-0.10%,-0.71%
11/15/17,-1.24%,-1.03%,-1.63%
11/16/17,0.82%,0.58%,1.06%
